Nom_llibre|Usuari|Puntuacio|Titol|Data|Text|Votacions
La chica de nieve|Arancha Navarrete Lara|5,0 de 5 estrellas|Trepidante|Revisado en España el 13 de marzo de 2020|Madre mía enganchada en la primera página. Una vez más te superas Javier castillo.|A 8 personas les ha parecido esto útil
La chica de nieve|Rosa M.|5,0 de 5 estrellas|Engancha|Revisado en España el 21 de marzo de 2020|Leí los 3 libros anteriores de este escritor, y este sin duda es el que más me gustó, la historia un diez, te engancha de principio a fin.Este escritor juega mucho con los tiempos, cambia de fecha atras u adelante en cada capitulo peeo no es dificil seguirlo.La verdad es que no me esperaba para nada el final, deja con ganas de muchisimo más.Esperando ya el siguiente.|A 3 personas les ha parecido esto útil
La chica de nieve|Isa Z. |2,0 de 5 estrellas|Me ha decepcionado|Revisado en España el 21 de marzo de 2020|No ha sido lo que me esperaba. Tenía muchas expectativas puestas en este libro y me ha decepcionado. Muestra situaciones demasiado inverosímiles que hacen pensar que la novela está escrita por un adolescente. No he logrado conectar con ningún personaje y el final es bastante previsible.|A 4 personas les ha parecido esto útil
La chica de nieve|LUA|2,0 de 5 estrellas|Un libro sin más.|Revisado en España el 17 de marzo de 2020|Me encantó "El día que se perdió la cordura" y me sorprendió gratamente "Todo lo que sucedió con Miranda Huff" pero este me ha parecido un libro sin más. Como una película de TV de sobremesa en fin de semana.|A 3 personas les ha parecido esto útil
La chica de nieve|Germán Moya|4,0 de 5 estrellas|Trepidante y muy bien escrita|Revisado en España el 5 de abril de 2020|Es una novela trepidante que, a priori, podría parecer que gana su poder de sugestión en temas y lugares comunes tan obvios como los niños perdidos o las personas heridas que hayan su redención en la venganza. Y sí, hay momentos que recuerdan a Stieg Larsson, por un lado,  y los dramas basados en niños desaparecidos, por otro. Podría parecer que acudir a estos lugares comunes es una garantía, pero lo que realmente hace grande a esta novela es su ritmo y sus emociones universales, perfectamente trazadas y conjugadas.|
La chica de nieve|Gema|2,0 de 5 estrellas|Portada|Revisado en España el 12 de marzo de 2020|El producto venia dañado por las esquinas y con la tapa bastante soblada, sin enbargo el ambalaje estaba en perfecto estado cuando ha sido entregado|A 4 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Isa|5,0 de 5 estrellas|Libro de mandalas muy bonito|Revisado en España el 1 de noviembre de 2018|El libro me ha encantado. Si te gustan los mandalas es un libro estupendo por el precio que tiene. 80 láminas impresas a una cara, por lo que no hay problema de usar rotuladores si se quiere.Me ha gustado mucho lo de las frases positivas al reverso de cada hoja con el fondo negro, queda muy bonito, me gusta.Me llamó la atención la portada, que ya me pareció bonita y por dentro el libro es igual, además son mandalas muy variados. Un libro muy bonito.|A 77 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Iciar Huidobro Lopez|5,0 de 5 estrellas|Ideal|Revisado en España el 19 de abril de 2019|Es perfecto, un dibujo por página para no traspasar con el rotulador, una frase en cada hoja, los dibujos IDEALES. Me encantan y lo recomiendo.|A 31 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Miriam|4,0 de 5 estrellas|Muy bonito|Revisado en España el 24 de abril de 2019|Compre el libro para regalar, me ha gustado mucho como es: tamaño, cubierta, grosor, mensajes positivos interiores y la primera hoja con mini mandalas para probar los colores...Es para una persona que no es avanzada, por lo tanto no nos hemos fijado mucho si los dibujos son mas faciles o se repiten, pues es algo que no nos importa mucho en este caso, simplemente queremos pasar un bien rato, pintar y estar relajados e ir avanzando.Lo que menos me gusta es que las paginas no se puedan separar como en algunos otros libros, lo que seria mas comodo|A 9 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Monica|5,0 de 5 estrellas|Relax  y  reflexion|Revisado en España el 2 de octubre de 2019|Ha llegado  2  dias  antes  de  la  fecha  prevista, buena  calidad  de  papel ya  que  permite  colorear  los Mandalas  con total  facilidad.  me  gustan las  frases  positivas  de  cada  pagina,  es  un excelente  libro  para  disfrutar  de  ratos  de  relax  . gracias!|A 6 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Tona G,V.|3,0 de 5 estrellas|Mejorable|Revisado en España el 26 de marzo de 2019|Los dibujos son magnificos y las frases les dan un punto final genial. Làstima que elm papel sea de mala calidad y poco gramaje. Para pintar con colores supongo que bien, però con rotuladores, olea, acrilico o acuarela ni pensarlo.|A 3 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|RaquelMC|3,0 de 5 estrellas|Libro de Mandalas de buen material|Revisado en España el 23 de diciembre de 2019|Un buen libro de mandalas acompañados cada uno por pensamientos positivos. Ideal para relajar la mente simplemente coloreándolos. Lo único que echo en falta es que no vengan más por su precio, pero igualmente está bien presentado.|A una persona le ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|andrea|5,0 de 5 estrellas|muy bien|Revisado en España el 18 de enero de 2019|lo compre para pintar y la verdad que muy bien, la calidad y grosor de hojas estupendo. soy principiante|A 4 personas les ha parecido esto útil
Libro de colorear para adultos: 80 Mandalas & Pensamientos Positivos|Marta|5,0 de 5 estrellas|Genial|Revisado en España el 12 de junio de 2019|Me ha llegado hoy según lo previsto. Me encantan los dibujos y no me había fijado que detrás hay esos pensamientos positivos. Está muy bien. Creo que me pasará el tiempo volando cuando lo pinte.|A una persona le ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|Merchy|5,0 de 5 estrellas|MI PEQUEÑO DETECTIVE|Revisado en España el 4 de noviembre de 2019|He estado buscando incansablemente libros de lectura para mi pequeño y de repente, me he topado con este libro que aúna:Letra de buen tamaño, fácilmente legible y no muy extensa para que no se agobien leyendo y vayan haciendo pausas.Muchas ilustraciones divertidas (algo que me sorprende es que siendo en blanco y negro, consigan llamar tanto su atención) y que explican muy bien el texto que van leyendo.Una buena trama que los enganchará y les hará participar en la investigación hasta el final.Un tamaño que facilita su transporte y manejo.Libro más que recomendable para sumergir a los pequeños en ese fascinante mundo que es la lectura.El Caso del Castillo Encantado le ha gustado mucho a mi pequeño y es el primer libro de una serie llamada (Los busca pistas).Espero que mi opinión os haya ayudado.|A 64 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|sebas|2,0 de 5 estrellas|Mala calidad del encuadernado|Revisado en España el 18 de enero de 2019|El contenido del libro está muy bien. La historia en sí Le ha gustado mucho a mi hijo de 7 años. El problema es la calidad del producto, a los 3 días de estar leyendo se Le empezaron a despegar las páginas...|A 29 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|Cliente Amazon|5,0 de 5 estrellas|Buena lectura niños 6-7 años|Revisado en España el 7 de enero de 2018|Se lo compre a mi niño de 7 años. Le ha resultado facil su lectura. Y la historia le ha gustado y divertido, lo unico que no le ha gustado es que supo cual era el final antes de leerlo porque en la pagina de al lado el dibujo te revelaba el enigma. Ese detalle le decepciono un poco.|A 31 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|Francis Perea|5,0 de 5 estrellas|Les encanta|Revisado en España el 5 de abril de 2018|Sin libritos muy cortos pero por el precio que tiene en versión Kindle lo merecen. A mis hijos de 6, 8 y 10 les gustan mucho las historias de Pepa y Maxi y en casa juegan a ser detectives. Muy buena trama y muy bien editados. Los recomiendo.|A 16 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|Vicks|5,0 de 5 estrellas|Superdivertido, ideal para niños de todas las edades y algún adulto con alma infantil|Revisado en España el 4 de agosto de 2017|A mis hijos les ha divertido muchísimo y debo reconocer que me lo he leído también, no he resistido la tentación. Altamente recomendable para la época vacacional, y seguiremos comprando los demás libros de la serie|A 18 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|cerraja2|5,0 de 5 estrellas|Libro para niños 6-8 años|Revisado en España el 23 de junio de 2018|Muy buen libro para fomentar la lectura en niñ@s de entre 6-8 años.La tematica de las pistas le hace leer sin dar se cuenta.Compra recomendada|A 13 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|pesetinho|5,0 de 5 estrellas|Se lo leyo rapidisimo|Revisado en España el 10 de mayo de 2018|Era para mi hija que va en primero de primaria , se lo leyo en un pis pas y le gusto mucho. Una lectura buenba para niños que estan aprendiendo a leer....|A 9 personas les ha parecido esto útil
El caso del castillo encantado (Serie Los BuscaPistas 1)|Laura|4,0 de 5 estrellas|Laura|Revisado en España el 25 de agosto de 2018|Tengo una opinión dividida respecto a este libro. Por un lado a mis hijos les encantó, pero por otro  a mí me defraudó, especialmente el final. Muy poco elaborado. Las ilustraciones bien y la trama más o menos entretenida.|A 6 personas les ha parecido esto útil
Reina roja (La Trama)|Angel Luis|5,0 de 5 estrellas|¡Engrilletante!|Revisado en España el 8 de noviembre de 2018|Un aviso importante: NO PERMITAS que nadie te cuente de qué va el libro NI TE ASOMES a ningún comentario en ningún blog, revista o periódico,  porque te lo destrozarán. Simplemente... lee el libro y descubre toda la magia contenida en él. Es de Juan Gómez-Jurado, está garantizado. La evolución de los protagonistas Antonia Scott y Jon Gutiérrez te sorprenderá y te entretendrá gratamente. No se puede dar más por tan poco en su versión digital. Trepidante y adictivo, muy recomendable.|A 272 personas les ha parecido esto útil
Reina roja (La Trama)|pochettino11|2,0 de 5 estrellas|No leas las reseñas, SPOILERS!!|Revisado en España el 12 de noviembre de 2018|No leáis las RESEÑAS porque están llenas de SPOILERS!!Si queréis disfrutar de la experiencia completa de este fantástico libro (y de cualquier otro) no leáis las reseñas si no os habéis terminado Reina Roja y, de paso, difundid este mensaje para que nadie se vea perjudicado por los SPOILERS.Ni los demás lectores ni el autor se merecen que se estropee la lectura de esta historia, sólo leed y disfrutad!|A 239 personas les ha parecido esto útil
Reina roja (La Trama)|Mafalda|5,0 de 5 estrellas|NO LEÁIS LAS CRÍTICAS!! ESTÁN LLENAS DE SPOILERS!!!|Revisado en España el 12 de noviembre de 2018|Una novela fantástica, te engancha desde el primer momento con unos personajes maravillosos. Como TODOS sus libros, te absorben y te dan ganas de leerlos una y otra vez, bien narrados y bien cerrados al final. Absolutamente recomendable.|A 158 personas les ha parecido esto útil
Reina roja (La Trama)|Luis Endera|5,0 de 5 estrellas|Una novela portentosa, magnífica.|Revisado en España el 10 de noviembre de 2018|Nada, no os pienso contar nada. Y no dejéis que nadie os cuente nada. Leedla, ya. Yo me he leído la novela en 2 tardes. He leído la versión digital, así que no sabía cuantas páginas, de las impresas de toda la vida, tendría el libro. Lo he mirado: 578, correcto. ¿Es esto bueno o malo? Es bueno, es muy muy bueno. Hacía mucho tiempo que no me leía un libro tan rápidamente. ¿Qué os podría contar de la historia? Ya os he dicho que no os voy a contar nada, pero sí os puedo contar que una vez empiezas a leer Juan Gómez-Jurado te coge de la mano y pisa el acelerador. No es solo que el ritmo de la novela es trepidante, si no que lo que te va contando, y sobre todo cómo te lo va contando, es sorprendente e interesante, divertido y asustante, entretenido e inteligente. Y luego está la forma, el estilo... Juan es un artesano de la literatura, las palabras se ponen a su servicio y el las maneja como un director de orquesta maneja a sus músicos, como un pintor a los colores, como un escultor a un barro que nada puede hacer contra las manos de un maestro que sabe cómo encontrar la belleza donde antes no había nada. Uy, no sé si esto me ha quedado un poco cursi, no importa. Pues que te recomiendo el libro, mucho, yo lo he disfrutado enormemente. Gracias Juan, gracias de corazón, me lo he pasado muy bien.|A 104 personas les ha parecido esto útil
Reina roja (La Trama)|María|2,0 de 5 estrellas|Inverosímil|Revisado en España el 11 de noviembre de 2018|Inverosímil el personaje de Antonia a la que tampoco llegas a conocer a fondo ni a entender y también es inverosímil que dos tarados solitarios sean capaces de atentar contra dos de las familias más poderosas del mundo y de burlar a todas las fuerzas de élite sin despeinarse. El punto de partida es muy bueno pero todo se desinfla en el desarrollo|A 71 personas les ha parecido esto útil
Reina roja (La Trama)|Julián DM|2,0 de 5 estrellas|Algo decepcionante|Revisado en España el 16 de noviembre de 2018|Juan Gómez Jurado es un magnífico escritor. Lo atestigua su estupendo currículo novelístico (he leído todas; "El paciente" es una obra de culto...) Pero "Reina roja" me ha decepcionado bastante. La adquirí en preventa (muchas gracias por ese precio tan accesible...)  Se lee bien, porque escribe de maravilla (aunque hay varias expresiones bastante zafias, impropias, a mi entender, de aparecer en una novela de un narrador de su categoría) Pero lo barroco de sus personajes y lo inverosímil de la trama me ha decepcionado bastante. Además, hay referencias a lo largo de la novela a elementos de la actualidad española que va a propiciar que, en unos años, el lector no las capte...|A 45 personas les ha parecido esto útil
Reina roja (La Trama)|Alexis |1,0 de 5 estrellas|Decepción absoluta|Revisado en España el 15 de enero de 2019|Lo compré tras leer El Paciente y Cicatriz, que me parecieron muy buenos, y animada por las buenísimas críticas y la campaña bestial que tiene el autor en redes sociales. Todo prometía un buen libro. Sin embargo la trama es farragosa, los personajes están sin rematar y cuando no se le ocurría ninguno, coge personajes reales y les cambia el nombre.En resumen, no está a la altura ni mucho menos de las obras mencionadas y si no fuera porque me costó bastante barato, estaría realmente enfadada (aparte de decepcionada).|A 40 personas les ha parecido esto útil
Reina roja (La Trama)|IgnatiusRZ|5,0 de 5 estrellas|¡Es pura adicción! apunta a ser su mejor obra.|Revisado en España el 8 de noviembre de 2018|Reengancha desde la segunda página (desde la primera ya estaba enganchado hace días), Ya me gustaría poder decir que lo he terminado pero no es así por cuestión de que dispongo de poco tiempo libre para leer. Tengo 4 viajes diarios en tranvía, de unos 25 minutos, que uso para leer. Ya he realizado hoy 3 de esos 4 viajes y en 2 de ellos no me he dado cuenta y me he bajado dos paradas más tarde, con eso os digo todo. Querrías no dejar de leer, una página te obliga a ir a la siguiente sin posibilidad de dudar de si hacerlo o no, sientes auténtica necesidad de continuar. Espero terminarlo en breve, preveo noche de insomnio pero no creo que llegue al fin de semana sin terminarlo. De todos modos mucho tiene que cambiar de aquí al final (que lo dudo), para que no sea el mejor de todos los libros que ha escrito Juan Gómez-Jurado. ¡ENORME!|A 25 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|L. B.|4,0 de 5 estrellas|Buen libro para colorear|Revisado en España el 28 de junio de 2018|Un buen libro para colorear. Lo malo es que algunos de ellos son complejos,como se puede ver en las fotos que adjunto. Quizá se debiera indicar que tienen un nivel un pelín alto algunos, para que los que quieran empezar compren uno más básico.Por la parte de atrás traen una frase, en español, de alguna persona célebre, y en la página 3 te trae un código para descargar e imprimir diversos mandalas en pdf desde una web.Me llamó mucho la atención que pone que está impreso por Amazon en Alemania, es decir, son libros propios de ellos.|A 21 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|Marga|3,0 de 5 estrellas|Bonitos, pero repetidos|Revisado en España el 29 de mayo de 2017|Por el precio que cuesta, está bastante bien, pero lo que no me gusta es que cada dos paginas se repita el mandala anterior... Por lo demás está genial, hojas bastante gruesas, y un buen detalle es que sean negras por el reverso, para que no se note la pintura anterior...|A 13 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|Tere|5,0 de 5 estrellas|Recuperar la ilusión de colorear|Revisado en España el 30 de agosto de 2019|Necesitaba evadirme de presiones ,concentrarme en una sola actividad y me encanta ,hice un cuento de mandalas para el cumpleaños de mi nieta y atrajo con maravilla a los invitados ,yo feliz por darle algo hecho con toda mi atención , dibujos fantásticos ,el problema es que no puedo ,ni quiero parar.|A 7 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|LIDIA R.|5,0 de 5 estrellas|Muy bonito|Revisado en España el 6 de abril de 2018|El libro es muy bonito, las tapas son blandas, la dificultad de los mandalas va aumentando progresivamente, las páginas son bastante gruesas por lo que se pueden utilizar diferentes técnicas para aplicar el color, además detrás de cada mandala trae escrita una cita motivadora, trae bastantes hojas, lo recomiendo¡¡|A 5 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|JLGR|3,0 de 5 estrellas|a pintar !!|Revisado en España el 30 de diciembre de 2019|la verdad que no hay mucho que decir, un montón de mandalas para relajarse y desconectar. Algunos temas se repiten a lo largo del libro y  son bastante extensos asique se llevan un buen rato  rellanar uno.el bapel es de sufidiente calidad para pintar con rotulador sin problemas|A 2 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|Marian|5,0 de 5 estrellas|Preciso libro de mandalas de distintas dificultades|Revisado en España el 28 de septiembre de 2017|Es mi segundo libro de mandalas y me está encantando. Cada mandala por detrás trae una frase de las que dan que pensar. Los dibujos son muy bonitos. Algunos sencillos y otros bastantes complicados lo que me parece genial para poder elegir dependiendo de como twngas el día. Tiene un mandala central complementado con otros más pequeñitos, con lo que la página se puede colorear casi entera. Estoy encantada.|A 4 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|eloreviews|5,0 de 5 estrellas|geniales|Revisado en España el 4 de mayo de 2017|es un libro con  muchos mandalas , los hay de diferentes dificultad el tamaño muy adecuado y por su puesto indicado para adultos ,el papel de las hojas a pintar es bastante resistente .los recomiendo para relajarse|A 2 personas les ha parecido esto útil
Mandalas Para Meditar: Libro De Colorear Para Adultos|Marisa M.|5,0 de 5 estrellas|Todo un descubrimiento|Revisado en España el 12 de abril de 2017|Compré dos cuadernos de la misma casa para regalar y acerté plenamente, este es mas sencillo que el otro, pero para empezar creo que es mas adecuado. Tiene unos dibujos muy bonitos. A la persona que se lo regalé le encantó. Llegaron de un día para otro. Los recomiendo.|A 3 personas les ha parecido esto útil
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|JJ|5,0 de 5 estrellas|Lo esperado|Revisado en España el 29 de febrero de 2020|Cuaderno rubio de toda la vida, los utilizaba yo de chiquinino, he buscado en Amazon todos los de esta serie y solo había este, a ver si reponen y compro los que me hacen falta. Recomendable para ayuda de nuestros hijos.|A una persona le ha parecido esto útil
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Cliente Amz|5,0 de 5 estrellas|ATEMPORAL|Revisado en España el 21 de febrero de 2020|El cuaderno de ejercicios de toda la vida que continua ayudando a aprender.|A 2 personas les ha parecido esto útil
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Marta Pascual Jiménez|5,0 de 5 estrellas|Esta bien|Revisado en España el 2 de abril de 2020|Para practicar la forma correcta de escribir|
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Mayte|5,0 de 5 estrellas|Caligrafía|Revisado en España el 16 de enero de 2019|Cuaderno para mejorar la caligrafía de los peques. Marca de toda la vida y a muy buen precio.|
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Cliente Amazon|4,0 de 5 estrellas|Escribir mejor|Revisado en España el 8 de febrero de 2020|Buen libro para que tus niños continuen aprendiendo a escribir y leer.|
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Tere|5,0 de 5 estrellas|Sin duda volveré a comprar|Revisado en España el 6 de abril de 2020|Muy contenta llego en perfecto estado sin duda volveré a comprar|
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|uriel marco|5,0 de 5 estrellas|correcto|Revisado en España el 30 de enero de 2019|Es lo que se espera que sea. Ni más ni menos.|
Rubio C-4 - Cuaderno caligrafía (Escritura RUBIO)|Carloxy|5,0 de 5 estrellas|los rubio de toda la vida|Revisado en España el 21 de mayo de 2015|Por muy buen precio recibes en casa estos cuadernos con los que los peques aprenden y mejoran su escritura. Además son bastante atractivos para ellos|A una persona le ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|Cliente Amazon|2,0 de 5 estrellas|Sectarismo|Revisado en España el 13 de diciembre de 2018|El descubrimiento de America un hito que cambió la historia de la humanidad, es simplemente para el autor un hecho casual y casi irrelevante.Los colonizadores españoles eran criminales, genocidas, esclavistas y encima olían mal. Mientras los colonizadores ingleses eran todo lo contrario y posiblemente hasta olian bien.En la America española, viven millones de descendientes de aquellos indios esclavizado. ¿Cuantos sobreviven en las tierras colonizadas por los ingleses?.A lo largo de todo el libro el autor desprende la idea de que solo gracias a los ingleses la humanidad  ha adquirido el nivel de desarrollo actual.|A 165 personas les ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|ger86|2,0 de 5 estrellas|Debería ser menos parcial al hablar de ciertos temas. La parte sociológica muy bien|Revisado en España el 9 de marzo de 2019|Muy interesante hasta que empieza a tratar de una forma increíblemente sesgada al imperio español (al que ataca indiscriminadamente) y a alabar al inglés (que por cierto no es el mayor de la historia en duración).|A 53 personas les ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|Pitusa|5,0 de 5 estrellas|Excelente visión del desarrollo de la vida del homo sapiens|Revisado en España el 13 de febrero de 2018|Leí al revés, primero el segundo libro y después el primero, pero como no son continuación no hubo problema y yo los disfruté a fondo, los leí casi sin respirar. Muy bien documentado, lectura fácil con lenguaje comprensible para el público en general. Rompe mitos, descubre realidades que no se suelen divulgar. No lo voy a destripar, hay que leerlo, vale la pena.|A 34 personas les ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|Carlos|5,0 de 5 estrellas|Extraordinario e inquietante|Revisado en España el 9 de julio de 2018|Excelente ensayo. Muy perturbador, porque pone en cuestión la mayor parte de las nuestras certezas. Hay preguntas asombrosas: ¿Domesticamos el trigo o fue el trigo el que nos domesticó a nosotros? ¿Existen los derechos humanos o son una construcción cultural? ¿cómo se mide la felicidad humana? Imprescindible y muy atrevido.|A 21 personas les ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|Cyranodejavier|5,0 de 5 estrellas|Fundamental|Revisado en España el 22 de abril de 2018|Un libro fundamental para comprender cuando comenzó el problema, cuando empezamos a explotarnos los unos a los otros, cuando dejamos de ser hombres para convertirnos en esos falsos dioses.|A 20 personas les ha parecido esto útil
Sapiens. De animales a dioses: Breve historia de la humanidad|DoctorMurke|2,0 de 5 estrellas|Excelente contenido, mal continente|Revisado en España el 19 de agosto de 2018|Libro excelente, lleno de sugerencias y de interrogantes que ayudan a pensar, a relativizar tanto fundamentalismo y a conectar con la realidad (cinco estrellas) . Lo peor es el ejemplar que me envió Amazon (cero estrellas): no era de "tapa blanda", sino blandísima, un simple cartoncillo mal barnizado que se dobla o comba solo con mirarlo y se deteriora enseguida, a diferencia de los que venden en las librerías (al mismo precio), cuya tapa tiene solapas , lo que le da más consistencia (encima, el ejemplar está impreso en Estados Unidos ???). Una chapuza de edición, vamos.|A 15 personas les ha parecido esto útil
